MHK	AMW	Manhattan, KS	Ames, IA	21	30	1	254.0	200810	122049	86219
EUG	RDM	Eugene, OR	Bend, OR	41	396	22	103.0	199011	284093	76034
EUG	RDM	Eugene, OR	Bend, OR	88	342	19	103.0	199012	284093	76034
EUG	RDM	Eugene, OR	Bend, OR	11	72	4	103.0	199010	284093	76034
MFR	RDM	Medford, OR	Bend, OR	0	18	1	156.0	199002	147300	76034
MFR	RDM	Medford, OR	Bend, OR	11	18	1	156.0	199003	147300	76034
MFR	RDM	Medford, OR	Bend, OR	2	72	4	156.0	199001	147300	76034
MFR	RDM	Medford, OR	Bend, OR	7	18	1	156.0	199009	147300	76034
MFR	RDM	Medford, OR	Bend, OR	7	36	2	156.0	199011	147300	76034
SEA	RDM	Seattle, WA	Bend, OR	8	18	1	228.0	199002	5154164	76034
SEA	RDM	Seattle, WA	Bend, OR	453	3128	23	228.0	199001	5154164	76034
SEA	RDM	Seattle, WA	Bend, OR	784	2720	20	228.0	199002	5154164	76034
SEA	RDM	Seattle, WA	Bend, OR	749	2992	22	228.0	199003	5154164	76034
